Rk,Unnamed: 1,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,<1,>3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,New York Rangers,55-23-4,04-Mar,08-Jan,30-11-2000,25-12-2004,34-14-2,21-09-2002,16-06-2002,18-08-2000,11-04-2001,10-05-2001,23-04-2004,24-14-0,07-02-2000,09-02-2001,09-05-2000,05-07-2002,10-01-2000,10-03-2001,05-03-2000
2,Dallas Stars,52-21-9,04-Feb,08-Jul,26-11-2004,26-10-2005,18-11-2003,34-10-6,07-08-2001,11-03-2002,17-07-2002,17-03-2004,23-08-2009,21-11-2000,05-01-2001,08-04-2002,09-04-2001,08-04-2002,06-04-2003,11-02-2000,05-02-2000
3,Carolina Hurricanes,52-23-7,02-May,06-Feb,27-10-2004,25-13-3,35-10-5,17-13-2,19-04-2001,16-06-2004,08-06-2002,09-07-2000,17-08-2007,25-11-2000,06-04-2000,07-04-2001,07-05-2003,08-02-2001,08-03-2001,11-03-2001,05-02-2000
4,Florida Panthers,52-24-6,03-Feb,07-Apr,26-13-2,26-11-2004,33-12-5,19-12-2001,17-05-2004,16-07-2001,09-07-2000,10-05-2001,19-07-2006,22-08-2000,04-03-2001,10-04-2001,08-05-2000,09-02-2002,09-02-2000,07-06-2001,05-02-2001
5,Winnipeg Jets,52-24-6,0-1,06-May,27-11-2003,25-13-3,19-09-2004,33-15-2,10-03-2003,09-06-2001,20-05-2001,13-10-2001,15-05-2006,21-12-2000,04-03-2002,08-05-2000,10-01-2002,08-03-2001,07-04-2000,07-08-2001,8-0-0
6,Vancouver Canucks,50-23-9,0-2,06-Jul,27-09-2005,23-14-4,21-07-2004,29-16-5,12-03-2001,09-04-2003,12-07-2005,17-09-2000,19-07-2009,19-11-2000,06-02-2001,09-06-2000,08-02-2002,10-01-2002,05-06-2002,08-03-2001,04-03-2001
7,Boston Bruins,47-20-15,04-Mar,07-Dec,24-11-2006,23-09-2009,30-15-5,17-05-2010,18-05-2003,12-10-2002,10-03-2003,07-02-2007,16-05-2015,22-11-2000,8-0-1,07-04-2002,07-03-2003,09-02-2003,04-03-2005,08-05-2001,04-03-2000
8,Colorado Avalanche,50-25-7,02-Feb,06-May,31-9-1,19-16-6,16-13-3,34-12-4,07-08-2001,09-05-2002,16-08-2002,18-04-2002,14-06-2007,30-17-0,06-02-2000,09-04-2001,08-05-2002,09-03-2000,05-05-2002,10-02-2001,03-04-2001
9,Edmonton Oilers,49-27-6,02-Jan,08-May,28-09-2004,21-18-2,19-11-2002,30-16-4,08-06-2002,11-05-2000,12-08-2004,18-08-2000,14-03-2006,27-16-0,02-05-2001,07-07-2000,09-03-2000,11-0-0,06-05-2001,10-03-2002,04-04-2002
10,Toronto Maple Leafs,46-26-10,05-Feb,08-Aug,22-15-4,24-11-2006,22-20-8,24-06-2002,11-12-2003,11-08-2005,12-02-2002,12-04-2000,19-06-2010,21-11-2000,05-03-2001,07-03-2002,05-04-2004,08-04-2001,09-03-2000,08-05-2001,04-04-2001
