Rk,Unnamed: 1,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SEA,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
1,Anaheim Ducks,,1-2-0,1-1-0,2-0-0,1-1-0,1-1-0,1-2-0,1-2-0,1-2-0,0-2-1,1-1-0,0-4-0,1-1-0,1-2-1,1-2-0,0-2-0,2-0-0,2-1-0,0-2-0,0-2-0,2-0-0,1-1-0,1-1-0,0-4-0,3-1-0,0-2-1,0-1-1,0-1-1,0-3-0,3-1-0,0-3-0,0-2-0
2,Arizona Coyotes,2-0-1,,1-1-0,1-1-0,0-2-0,2-0-0,0-2-1,1-2-0,2-2-0,0-2-1,2-0-0,2-1-0,0-2-0,0-3-0,1-3-0,1-1-0,2-0-0,3-0-1,0-2-0,0-2-0,2-0-0,0-2-0,1-1-0,2-1-0,3-0-0,2-2-0,1-1-0,0-2-0,1-2-0,2-1-0,0-3-1,2-0-0
3,Boston Bruins,1-0-1,1-0-1,,2-1-0,1-2-0,2-1-0,0-1-1,2-0-0,1-0-1,2-0-0,2-2-0,1-0-1,4-0-0,1-0-1,0-1-1,3-0-1,2-0-1,2-0-0,2-1-0,0-2-1,2-1-0,2-1-0,2-1-0,0-1-1,2-0-0,1-1-0,1-1-2,4-0-0,1-0-1,1-0-1,1-1-0,1-2-0
4,Buffalo Sabres,0-2-0,1-1-0,1-2-0,,1-1-1,2-1-0,1-1-0,2-0-0,1-1-0,0-2-0,1-3-0,1-1-0,0-2-1,2-0-0,2-0-0,2-1-1,1-2-0,0-2-0,2-1-0,1-1-1,2-2-0,2-1-0,2-1-0,1-1-0,2-0-0,0-2-0,3-1-0,2-1-1,0-2-0,2-0-0,0-2-0,2-0-1
5,Carolina Hurricanes,1-1-0,2-0-0,2-1-0,2-0-1,,3-1-0,1-1-0,2-0-0,1-1-0,0-2-0,3-0-0,1-1-0,2-1-0,1-1-0,1-1-0,3-0-0,3-0-0,1-0-1,2-1-1,1-2-0,3-0-0,3-1-0,2-1-1,1-1-0,2-0-0,1-0-1,1-2-0,3-0-0,0-2-0,2-0-0,0-2-0,2-0-2
6,Columbus Blue Jackets,1-0-1,0-2-0,1-2-0,1-1-1,1-3-0,,2-0-0,2-0-0,1-1-0,0-2-0,0-2-1,1-1-0,0-2-1,0-1-1,1-0-1,0-2-1,1-2-1,0-2-0,0-3-0,2-1-1,1-1-1,2-2-0,1-3-0,0-2-0,2-0-0,2-0-0,1-2-0,2-1-0,1-0-1,1-1-0,0-2-0,0-2-1
7,Calgary Flames,2-1-0,3-0-0,2-0-0,1-1-0,1-1-0,0-2-0,,1-2-0,0-3-0,2-1-0,0-2-0,1-3-0,1-1-0,2-2-0,1-1-1,2-0-0,1-1-0,2-1-0,1-0-1,0-2-0,1-1-0,1-1-0,1-1-0,2-2-0,2-1-0,0-3-0,2-0-0,0-1-1,1-3-0,3-0-1,2-1-0,0-1-1
8,Chicago Blackhawks,2-1-0,2-1-0,0-2-0,0-2-0,0-2-0,0-2-0,2-1-0,,1-3-0,1-2-1,0-1-1,0-3-0,1-1-0,0-2-1,0-3-0,0-2-0,0-2-0,0-3-1,1-1-0,0-1-1,1-1-0,1-1-0,1-1-0,1-2-0,3-0-0,1-3-0,1-1-0,2-0-0,0-3-0,1-2-0,1-2-1,0-2-0
9,Colorado Avalanche,2-0-1,2-0-2,1-1-0,1-1-0,1-1-0,1-1-0,3-0-0,3-1-0,,3-1-0,1-0-1,2-1-0,0-2-0,2-1-0,4-0-0,0-2-0,1-1-0,1-2-0,2-0-0,0-0-2,2-0-0,1-1-0,1-1-0,2-1-0,3-0-0,3-1-0,1-1-0,1-1-0,3-0-0,1-1-1,0-3-0,2-0-0
10,Dallas Stars,3-0-0,3-0-0,0-1-1,2-0-0,2-0-0,2-0-0,1-1-1,3-1-0,1-2-1,,2-0-0,2-0-1,0-2-0,3-0-0,3-0-0,1-1-0,1-1-0,2-2-0,0-0-2,1-1-0,1-1-0,1-1-0,2-0-0,3-0-0,3-0-0,2-1-1,1-1-0,0-2-0,2-1-0,0-1-2,3-1-0,2-0-0
